RelaciónCompraAlquiler;Departamento;Año;PROMEDIO(RAI/RCI)-MIDES;PROMEDIO(RAI/RCI)-ECH;PorcentajeDiferencia
Alquiler;Maldonado;2017;20.4;20.61;1.03
Compra;Maldonado;2017;10.7;11.11;3.83
Alquiler;Montevideo;2017;23.3;24.13;3.56
Compra;Montevideo;2017;15.5;16.01;3.29
Alquiler;Paysandu;2017;18.4;18.75;1.9
Compra;Paysandu;2017;8.3;8.5;2.41
Alquiler;Rio Negro;2017;15.8;15.45;2.22
Compra;Rio Negro;2017;9;32.83;264.78
Alquiler;Rivera;2017;18;17.87;0.72
Compra;Rivera;2017;9.7;9.68;0.21
Alquiler;Rocha;2017;16;17.49;9.31
Compra;Rocha;2017;11.2;11.37;1.52
Alquiler;Salto;2017;18.7;18.37;1.76
Compra;Salto;2017;8.6;8.45;1.74
Alquiler;San José;2017;16;15.49;3.19
Compra;San José;2017;9.2;9.23;0.33
Alquiler;Soriano;2017;17.1;16.58;3.04
Compra;Soriano;2017;9.3;9.48;1.94
Alquiler;Tacuarembó;2017;18.3;19.4;6.01
Compra;Tacuarembó;2017;13.5;13.75;1.85
Alquiler;Treinta y Tres;2017;15.6;14.77;5.32
Compra;Treinta y Tres;2017;12.9;13.6;5.43
Alquiler;Artigas;2018;19.6;19.29;1.58
Compra;Artigas;2018;7;7.01;0.14
Alquiler;Canelones;2018;20.5;20.38;0.59
Compra;Canelones;2018;12.4;12.92;4.19
Alquiler;Cerro Largo;2018;19.2;19.65;2.34
Compra;Cerro Largo;2018;10.7;10.95;2.34
Alquiler;Colonia;2018;18.5;18.59;0.49
Compra;Colonia;2018;11.3;11.52;1.95
Alquiler;Durazno;2018;18.1;18.08;0.11
Compra;Durazno;2018;9.4;9.2;2.13
Alquiler;Flores;2018;18.3;16.98;7.21
Compra;Flores;2018;9.9;9.83;0.71
Alquiler;Florida;2018;17.1;16.66;2.57
Compra;Florida;2018;8.3;9.18;10.6
Alquiler;Lavalleja;2018;19.5;18.73;3.95
Compra;Lavalleja;2018;10.6;11.33;6.89
Alquiler;Maldonado;2018;21;22.31;6.24
Compra;Maldonado;2018;11.9;14.7;23.53
Alquiler;Montevideo;2018;24.2;25.5;5.37
Compra;Montevideo;2018;15.1;15.65;3.64
Alquiler;Paysandu;2018;17.8;18.02;1.24
Compra;Paysandu;2018;10.5;11.63;10.76
Alquiler;Rio Negro;2018;18.3;16.12;11.91
Compra;Rio Negro;2018;11.2;11.85;5.8
Alquiler;Rivera;2018;19.5;19.97;2.41
Compra;Rivera;2018;10.9;10.64;2.39
Alquiler;Rocha;2018;16.8;17.02;1.31
Compra;Rocha;2018;11.9;12.68;6.55
Alquiler;Salto;2018;18.2;18.17;0.16
Compra;Salto;2018;9.3;9.43;1.4
Alquiler;San José;2018;17.3;17.81;2.95
Compra;San José;2018;9.9;10.55;6.57
Alquiler;Soriano;2018;16.8;17.37;3.39
Compra;Soriano;2018;9.5;10.19;7.26
Alquiler;Tacuarembó;2018;19.2;19.7;2.6
Compra;Tacuarembó;2018;11;11.39;3.55
Alquiler;Treinta y Tres;2018;18;18.3;1.67
Compra;Treinta y Tres;2018;14.2;14.64;3.1
